exer_id:token,assignment_id:token_seq,cpt_seq:token_seq
1094,5,"[142, 223, 264, 276, 301, 449, 458]"
3560,6,"[34, 38, 90, 173, 324, 415]"
278,7,"[191, 593]"
362,7,"[107, 593]"
263,7,"[44, 191, 593]"
353,7,"[191, 593]"
369,7,"[107, 593]"
356,7,"[44, 191, 593]"
282,7,"[44, 107, 593]"
279,8,"[107, 470]"
471,8,"[191, 470]"
477,8,"[191, 470]"
852,8,"[191, 470]"
466,8,"[191, 470]"
464,8,"[191, 470]"
531,8,"[191, 470]"
1870,8,"[107, 470]"
390,8,"[191, 470]"
685,8,"[191, 470]"
1297,8,"[191, 470]"
1871,8,"[107, 470]"
1300,8,"[44, 191, 470]"
1629,8,"[191, 470]"
1666,8,"[107, 470]"
1545,8,"[107, 470]"
743,8,"[191, 470]"
1869,8,"[107, 470]"
1296,8,"[107, 470]"
1868,8,"[107, 470]"
245,9,"[125, 299, 604]"
96,10,"[195, 317]"
111,10,"[125, 195, 535, 604]"
408,10,"[195, 535]"
354,10,[195]
388,10,"[195, 299, 604]"
8293,11,"[26, 108, 272, 333, 382, 447]"
8300,11,"[108, 272, 333, 382, 447, 533]"
15533,11,"[108, 272, 333, 382, 447, 533]"
8316,11,"[108, 272, 333, 382, 447, 533]"
18972,11,"[26, 108, 272, 333, 382, 447]"
8862,11,"[108, 272, 333, 382, 447, 533]"
15053,11,"[108, 272, 333, 382, 447, 533]"
10176,11,"[26, 108, 272, 333, 382, 447]"
12362,11,"[26, 61, 108, 272, 382, 447]"
8350,12,"[47, 73, 222, 333, 345, 384, 447, 514, 534]"
18973,12,"[47, 73, 222, 333, 345, 384, 447, 514, 534]"
10886,12,"[73, 222, 333, 345, 447]"
10824,12,"[73, 222, 333, 345, 447]"
9622,12,"[47, 73, 222, 333, 345, 384, 447, 514, 534]"
8610,12,"[73, 222, 333, 345, 447]"
19287,12,"[73, 222, 333, 345, 447]"
8882,12,"[73, 222, 333, 345, 447]"
10182,12,"[73, 222, 333, 345, 447]"
8640,12,"[73, 222, 333, 345, 447]"
15523,12,"[73, 222, 333, 345, 447]"
15067,12,"[73, 222, 333, 345, 447]"
8646,13,"[73, 222, 333, 345, 447]"
10478,13,"[73, 222, 333, 345, 447]"
15261,13,"[73, 222, 333, 345, 447]"
10895,13,"[26, 61, 108, 272, 382, 447]"
9327,13,"[26, 382, 447]"
14463,13,"[73, 222, 333, 345, 447]"
11388,13,"[26, 108, 272, 333, 382, 447]"
14053,13,"[26, 108, 272, 333, 382, 447]"
6191,14,"[250, 300, 379, 478]"
6217,14,"[218, 466, 478, 583]"
6223,14,"[425, 461, 478, 510]"
6961,14,"[202, 246, 478, 576]"
6215,14,"[202, 246, 478, 576]"
6476,14,"[425, 461, 478, 510]"
6221,14,"[218, 466, 478, 583]"
6219,14,"[250, 300, 379, 478]"
6202,14,"[425, 461, 478, 510]"
6477,14,"[250, 300, 379, 478]"
6227,14,"[218, 466, 478, 583]"
6205,14,"[202, 246, 478, 576]"
6479,14,"[218, 466, 478, 583]"
6225,14,"[202, 246, 478, 576]"
6484,14,"[250, 300, 379, 478]"
6197,14,"[425, 461, 478, 510]"
6208,14,"[218, 466, 478, 583]"
6210,14,"[250, 300, 379, 478]"
6213,14,"[425, 461, 478, 510]"
6480,14,"[202, 246, 478, 576]"
6485,15,"[202, 246, 478, 576]"
9891,15,"[250, 300, 379, 478]"
12709,15,"[425, 461, 478, 510]"
12727,15,"[202, 246, 478, 576]"
12765,15,"[425, 461, 478, 510]"
12758,15,"[218, 466, 478, 583]"
12743,15,"[202, 246, 478, 576]"
9892,15,"[202, 246, 478, 576]"
12720,15,"[250, 300, 379, 478]"
12383,15,"[425, 461, 478, 510]"
11373,15,"[425, 461, 478, 510]"
12697,15,"[250, 300, 379, 478]"
7270,15,"[425, 461, 478, 510]"
12561,15,"[218, 466, 478, 583]"
12762,15,"[202, 246, 478, 576]"
12589,15,"[218, 466, 478, 583]"
12740,15,"[250, 300, 379, 478]"
6507,16,"[163, 188, 300, 379, 421, 451, 579]"
11384,16,"[123, 158, 202, 421, 483, 576, 579]"
12136,16,"[94, 164, 221, 305, 378, 421, 579]"
9637,16,"[163, 188, 300, 379, 421, 451, 579]"
8252,16,"[76, 92, 189, 322, 421, 448, 579]"
13383,16,"[14, 82, 400, 421, 461, 510, 579]"
12847,16,"[76, 92, 189, 322, 421, 448, 579]"
13399,16,"[14, 82, 400, 421, 461, 510, 579]"
13308,16,"[94, 164, 221, 305, 378, 421, 579]"
12749,16,"[163, 188, 300, 379, 421, 451, 579]"
12076,16,"[94, 164, 221, 305, 378, 421, 579]"
13334,16,"[14, 82, 400, 421, 461, 510, 579]"
11984,16,"[94, 164, 221, 305, 378, 421, 579]"
7309,16,"[14, 82, 400, 421, 461, 510, 579]"
8253,16,"[163, 188, 300, 379, 421, 451, 579]"
12866,16,"[76, 92, 189, 322, 421, 448, 579]"
12613,16,"[123, 158, 202, 421, 483, 576, 579]"
9646,16,"[163, 188, 300, 379, 421, 451, 579]"
12759,16,"[76, 92, 189, 322, 421, 448, 579]"
8256,16,"[76, 92, 189, 322, 421, 448, 579]"
12531,16,"[123, 158, 202, 421, 483, 576, 579]"
6913,17,"[260, 478, 526, 550, 594]"
8127,17,"[258, 435, 466, 478, 583]"
6935,17,"[152, 250, 379, 476, 478]"
12710,17,"[10, 249, 475, 478, 599]"
10047,17,"[152, 250, 379, 476, 478]"
13573,17,"[260, 478, 526, 550, 594]"
8117,17,"[260, 478, 526, 550, 594]"
13510,17,"[10, 249, 475, 478, 599]"
12460,17,"[10, 249, 475, 478, 599]"
13347,17,"[10, 249, 475, 478, 599]"
13523,17,"[152, 250, 379, 476, 478]"
13581,17,"[10, 249, 475, 478, 599]"
8112,17,"[152, 250, 379, 476, 478]"
13569,17,"[10, 249, 475, 478, 599]"
12525,17,"[152, 250, 379, 476, 478]"
11078,17,"[260, 478, 526, 550, 594]"
9924,17,"[10, 249, 475, 478, 599]"
10048,17,"[10, 249, 475, 478, 599]"
13909,17,"[258, 435, 466, 478, 583]"
12015,17,"[258, 435, 466, 478, 583]"
12348,17,"[258, 435, 466, 478, 583]"
13474,17,"[260, 478, 526, 550, 594]"
9919,17,"[258, 435, 466, 478, 583]"
8706,17,"[152, 250, 379, 476, 478]"
13522,17,"[258, 435, 466, 478, 583]"
13598,17,"[260, 478, 526, 550, 594]"
8716,18,"[260, 478, 526, 550, 594]"
14917,18,"[152, 250, 379, 476, 478]"
13336,18,"[258, 435, 466, 478, 583]"
13357,18,"[10, 249, 475, 478, 599]"
13324,18,"[526, 550]"
7191,19,[426]
14551,19,[144]
12970,19,[200]
14416,19,[426]
9830,19,[200]
7699,19,[200]
7701,19,[200]
10080,19,[200]
8334,19,[200]
7703,19,[200]
9436,19,[200]
10077,19,[200]
12156,19,[144]
11090,19,[200]
10018,19,[426]
9587,19,[144]
9825,19,[144]
7704,19,[200]
12157,19,[144]
7203,19,[426]
7708,20,"[97, 144, 148, 368, 419, 546]"
14483,20,"[97, 304, 368, 546]"
13782,20,"[97, 304, 368, 546]"
9466,20,"[97, 304, 368, 546]"
13534,20,"[97, 144, 148, 368, 419, 546]"
14613,20,"[97, 144, 148, 368, 419, 546]"
14545,20,"[97, 144, 148, 368, 419, 546]"
13520,20,"[97, 144, 148, 368, 419, 546]"
16172,20,"[97, 304, 368, 546]"
9468,20,"[97, 144, 148, 368, 419, 546]"
9844,20,"[97, 304, 368, 546]"
10087,20,"[97, 144, 148, 368, 419, 546]"
7956,21,"[47, 325, 362, 384, 467, 514, 534, 546]"
15047,21,"[325, 362, 467, 546]"
13807,21,"[325, 362, 467, 546]"
12985,21,"[47, 325, 362, 384, 467, 514, 534, 546]"
9475,21,"[47, 148, 325, 362, 384, 419, 426, 514, 534, 546]"
10132,21,"[148, 325, 362, 419, 426, 546]"
13544,21,"[148, 325, 362, 419, 426, 546]"
7977,22,"[21, 47, 148, 200, 362, 368, 384, 419, 514, 534]"
14580,22,"[21, 362, 368, 577]"
9498,22,"[21, 362, 368, 577]"
15489,22,"[21, 148, 200, 362, 368, 419]"
12246,22,"[21, 148, 200, 362, 368, 419]"
17374,22,"[21, 362, 368, 577]"
14940,22,"[21, 148, 200, 362, 368, 419]"
12240,22,"[21, 148, 200, 362, 368, 419]"
12904,22,"[21, 148, 200, 362, 368, 419]"
15292,22,"[21, 148, 200, 362, 368, 419]"
14575,22,"[21, 148, 200, 362, 368, 419]"
8106,23,"[325, 362, 546]"
594,24,"[278, 286, 354]"
1707,24,"[278, 286, 354]"
1200,24,"[278, 286, 354]"
599,24,"[278, 286, 354]"
1636,24,"[278, 286, 354]"
612,25,"[1, 71, 286, 297]"
2854,25,"[1, 71, 297]"
564,26,"[24, 511]"
1588,26,"[24, 511]"
1801,26,"[24, 511]"
567,26,"[227, 259]"
645,26,"[227, 259]"
1778,26,"[227, 259]"
569,26,"[243, 606]"
2345,26,"[243, 606]"
2819,26,"[243, 606]"
1800,26,"[243, 606]"
566,26,"[344, 386]"
2665,26,"[344, 386]"
1602,26,"[344, 386]"
1796,26,"[344, 386]"
595,26,"[344, 386]"
2365,27,"[24, 116, 315]"
1277,27,"[24, 315, 444]"
404,27,"[24, 116, 315]"
568,27,"[24, 116, 315]"
1533,27,"[24, 116, 315]"
560,27,"[24, 116, 315]"
509,27,"[24, 315, 444]"
565,27,"[24, 116, 315]"
551,27,"[24, 315, 444]"
576,27,"[24, 315, 444]"
1188,27,"[24, 315, 444]"
1034,27,"[24, 315, 444]"
519,27,"[87, 227, 315]"
491,27,"[227, 315, 578]"
1531,27,"[87, 227, 315]"
550,27,"[87, 227, 315]"
490,27,"[227, 315, 578]"
1671,27,"[87, 227, 315]"
1299,27,"[227, 315, 578]"
1269,27,"[87, 227, 315]"
1530,27,"[227, 315, 578]"
1813,27,"[87, 227, 315]"
552,27,"[227, 315, 578]"
1165,27,"[227, 315, 578]"
583,27,"[87, 227, 315]"
1042,27,"[243, 315, 504]"
402,27,"[243, 315, 504, 606]"
499,27,"[243, 315, 351]"
1566,27,"[243, 315, 351]"
1596,27,"[243, 315, 504]"
2375,27,"[243, 315, 504]"
1526,27,"[243, 315, 351]"
1201,27,"[243, 315, 351]"
2374,27,"[243, 315, 504]"
1634,27,"[243, 315, 351]"
1026,27,"[243, 315, 351]"
484,27,"[243, 315, 504]"
525,27,"[315, 386, 452]"
397,27,"[315, 344, 355, 386]"
1030,27,"[315, 386, 452]"
532,27,"[315, 386, 452]"
516,27,"[315, 355, 386]"
545,27,"[315, 355, 386]"
512,27,"[315, 386, 452]"
524,27,"[315, 386, 452]"
608,27,"[315, 355, 386]"
1184,27,"[315, 386, 452]"
1313,27,"[315, 386, 452]"
522,27,"[315, 355, 386]"
500,27,"[315, 355, 386]"
1703,28,"[122, 182, 490, 498, 563]"
703,28,"[122, 182, 490, 498, 563]"
1720,28,"[122, 182, 490, 561, 563]"
871,28,"[122, 182, 490, 561, 563]"
1733,28,"[122, 182, 490, 498, 563]"
1743,28,"[122, 182, 490, 498, 563]"
1500,28,"[122, 182, 490, 498, 563]"
1721,28,"[122, 182, 490, 561, 563]"
1167,28,"[122, 182, 490, 561, 563]"
1732,28,"[122, 182, 490, 498, 563]"
1715,28,"[122, 182, 490, 498, 563]"
1185,28,"[122, 182, 490, 498, 563]"
1816,28,"[122, 182, 490, 498, 563]"
2723,28,"[122, 182, 490, 561, 563]"
1387,28,"[122, 182, 490, 561, 563]"
1651,28,"[122, 182, 490, 498, 563]"
1523,28,"[122, 182, 490, 498, 563]"
2679,28,"[122, 182, 490, 561, 563]"
1550,28,"[122, 182, 490, 498, 563]"
2361,28,"[122, 182, 490, 561, 563]"
1112,29,"[98, 122, 312, 490, 561]"
1755,29,[490]
1221,29,"[98, 122, 312, 490, 561]"
3309,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
7823,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
4612,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
6073,1,"[106, 115, 121, 175, 279, 296, 336, 596]"
4044,2,"[301, 408, 569]"
6816,2,"[223, 408, 505]"
5991,2,"[408, 505, 569]"
6321,2,"[223, 301, 408]"
3331,2,"[301, 458, 569]"
5508,2,"[458, 505, 569]"
4478,2,"[223, 301, 458]"
4850,3,"[220, 408, 449, 505, 569]"
5962,3,"[220, 223, 301, 408, 449]"
5896,3,"[276, 301, 449, 458, 569]"
7219,3,"[223, 276, 301, 449, 458]"
7829,4,"[142, 264, 408, 505, 569]"
7832,4,"[142, 264, 408, 505, 569]"
4484,4,"[142, 223, 264, 408, 505]"
1066,4,"[142, 223, 264, 458, 505]"
3232,5,"[142, 220, 264, 301, 408, 449]"
8369,5,"[142, 220, 264, 301, 408, 449, 569]"
5493,5,"[142, 220, 264, 301, 408, 449, 569]"
1351,5,"[142, 220, 223, 264, 408, 449, 505]"
1109,5,"[142, 220, 223, 264, 301, 408, 449]"
6041,5,"[142, 223, 264, 276, 301, 449, 458]"
900,5,"[142, 223, 264, 276, 449, 458, 505]"
8367,5,"[142, 264, 276, 449, 458, 505, 569]"
995,5,"[142, 264, 276, 301, 449, 458, 569]"
428,7,"[107, 593]"
327,7,"[107, 593]"
309,7,"[191, 593]"
439,7,"[44, 191, 593]"
273,7,"[191, 593]"
600,7,"[44, 107, 593]"
359,7,"[107, 593]"
1624,7,"[44, 107, 593]"
483,8,"[191, 470]"
1254,8,"[191, 470]"
1668,8,"[107, 470, 593]"
1759,8,"[107, 470, 593]"
1850,8,"[44, 107, 470, 593]"
3353,8,[44]
472,8,"[191, 470]"
3352,8,[44]
67,9,"[125, 195, 317, 604]"
186,9,"[125, 195, 535, 604]"
378,9,"[125, 195, 535, 604]"
299,9,"[125, 195, 299, 604]"
248,9,"[125, 195, 535, 604]"
247,9,"[125, 195, 299, 604]"
210,9,"[125, 195, 317, 604]"
81,9,"[125, 195, 535, 604]"
301,9,"[125, 195, 535, 604]"
83,9,"[125, 195, 317, 604]"
451,9,"[125, 195, 299, 604]"
456,9,"[125, 195, 299, 604]"
431,10,"[125, 195, 535, 604]"
520,10,"[195, 535, 604]"
117,10,"[125, 195, 317, 604]"
339,10,"[195, 299]"
398,10,[604]
14395,11,"[26, 108, 272, 333, 382, 447]"
14411,11,"[26, 108, 272, 333, 382, 447]"
15078,11,"[47, 108, 272, 333, 382, 384, 447, 514, 533, 534]"
10817,11,"[26, 61, 108, 272, 382, 447]"
15087,11,"[26, 333, 382, 447]"
8864,11,"[108, 272, 333, 382, 447, 533]"
12784,15,"[202, 246, 478, 576]"
12327,15,"[218, 466, 478, 583]"
9299,15,"[250, 300, 379, 478]"
13343,15,"[218, 466, 478, 583]"
11803,15,"[425, 461, 478, 510]"
12130,15,"[202, 246, 478, 576]"
13344,15,"[250, 300, 379, 478]"
12744,15,"[218, 466, 478, 583]"
8231,15,"[250, 300, 379, 478]"
12789,15,"[250, 300, 379, 478]"
12798,15,"[425, 461, 478, 510]"
6488,15,"[250, 300, 379, 478]"
8235,15,"[425, 461, 478, 510]"
11986,16,"[123, 158, 202, 421, 483, 576, 579]"
13407,16,"[123, 158, 202, 421, 483, 576, 579]"
12143,16,"[76, 92, 189, 322, 421, 448, 579]"
11677,16,"[123, 158, 202, 421, 483, 576, 579]"
12424,16,"[123, 158, 202, 421, 483, 576, 579]"
9640,16,"[123, 158, 202, 421, 483, 576, 579]"
8255,16,"[94, 164, 221, 305, 378, 421, 579]"
11674,16,"[94, 164, 221, 305, 378, 421, 579]"
8244,16,"[94, 164, 221, 305, 378, 421, 579]"
13412,16,"[76, 92, 189, 322, 421, 448, 579]"
12805,16,"[94, 164, 221, 305, 378, 421, 579]"
12756,16,"[76, 92, 189, 322, 421, 448, 579]"
12616,16,"[14, 82, 400, 421, 461, 510, 579]"
12198,16,"[14, 82, 400, 421, 461, 510, 579]"
12002,16,"[94, 164, 221, 305, 378, 421, 579]"
13411,16,"[163, 188, 300, 379, 421, 451, 579]"
6510,16,"[14, 82, 400, 421, 461, 510, 579]"
11675,16,"[163, 188, 300, 379, 421, 451, 579]"
12170,17,"[152, 250, 379, 476, 478]"
13506,17,"[152, 250, 379, 476, 478]"
13284,17,"[260, 478, 526, 550, 594]"
13576,17,"[258, 435, 466, 478, 583]"
8713,17,"[152, 250, 379, 476, 478]"
12013,17,"[10, 249, 475, 478, 599]"
6918,17,"[258, 435, 466, 478, 583]"
13447,17,"[260, 478, 526, 550, 594]"
11073,17,"[260, 478, 526, 550, 594]"
12163,17,"[258, 435, 466, 478, 583]"
12012,17,"[260, 478, 526, 550, 594]"
13574,17,"[260, 478, 526, 550, 594]"
12445,17,"[10, 249, 475, 478, 599]"
13457,17,"[258, 435, 466, 478, 583]"
8709,17,"[10, 249, 475, 478, 599]"
13561,17,"[10, 249, 475, 478, 599]"
13984,18,"[258, 435, 466, 478, 583]"
13931,18,"[10, 249, 475, 478, 599]"
11084,18,"[258, 435, 466, 478, 583]"
13356,18,"[466, 478, 583]"
13997,18,"[10, 249, 475, 478, 599]"
13986,18,"[152, 250, 379, 476, 478]"
13789,18,"[152, 250, 379, 476, 478]"
13985,18,"[260, 478, 526, 550, 594]"
12538,19,[200]
12478,19,[200]
13990,19,[144]
14550,19,[426]
10082,19,[144]
9586,19,[200]
10024,19,[144]
9596,19,[144]
10079,19,[144]
13967,19,[144]
14603,19,[426]
9447,19,[200]
10030,20,"[97, 304, 368, 546]"
14569,20,"[97, 144, 148, 368, 419, 546]"
13008,20,"[47, 97, 144, 148, 368, 384, 419, 514, 534, 546]"
9602,20,"[97, 144, 148, 368, 419, 546]"
7930,20,"[97, 144, 148, 368, 419, 546]"
12228,20,"[47, 97, 304, 368, 384, 514, 534, 546]"
10797,21,"[47, 325, 362, 384, 467, 514, 534, 546]"
9488,21,"[47, 148, 325, 362, 384, 419, 426, 514, 534, 546]"
14881,21,"[47, 325, 362, 384, 467, 514, 534, 546]"
13617,21,"[47, 325, 362, 384, 467, 514, 534, 546]"
7961,21,"[47, 148, 325, 362, 384, 419, 426, 514, 534, 546]"
14607,21,"[47, 148, 325, 362, 384, 419, 426, 514, 534, 546]"
13621,21,"[47, 148, 325, 362, 384, 419, 426, 514, 534, 546]"
15019,21,"[47, 325, 362, 384, 467, 514, 534, 546]"
9487,21,"[47, 325, 362, 384, 467, 514, 534, 546]"
10212,21,"[47, 148, 325, 362, 384, 419, 426, 514, 534, 546]"
14909,22,"[21, 148, 200, 362, 368, 419, 489]"
13550,22,"[21, 362, 368, 577]"
15119,22,"[21, 47, 362, 368, 514, 534, 577]"
15249,22,"[21, 47, 148, 200, 362, 368, 384, 419, 514, 534]"
11108,22,"[21, 148, 200, 362, 368, 419]"
8629,22,"[21, 362, 368, 577]"
14577,22,"[21, 362, 368, 577]"
15048,22,"[21, 47, 362, 368, 384, 514, 534, 577]"
15111,22,"[21, 362, 368, 577]"
16186,22,"[21, 148, 200, 362, 368, 419]"
10121,23,"[21, 47, 362, 368, 384, 514, 534, 577]"
10226,23,"[21, 47, 362, 368, 384, 514, 534, 577]"
15081,23,"[47, 97, 304, 368, 384, 514, 534, 546]"
13074,23,"[47, 325, 362, 384, 467, 514, 534, 546]"
12315,23,"[47, 148, 235, 325, 362, 384, 419, 426, 514, 534, 546]"
11110,23,"[21, 47, 148, 200, 235, 362, 368, 384, 419, 514, 534]"
12318,23,"[47, 97, 144, 148, 235, 368, 384, 419, 514, 534, 546]"
10224,23,"[47, 97, 144, 148, 235, 368, 384, 419, 514, 534, 546]"
12958,23,"[47, 97, 304, 368, 384, 514, 534, 546]"
13068,23,"[47, 97, 144, 148, 235, 368, 384, 419, 514, 534, 546]"
13625,23,"[21, 148, 200, 235, 362, 368, 419]"
13069,23,"[47, 97, 304, 368, 384, 514, 534, 546]"
8139,23,"[148, 325, 362, 419, 534, 546]"
14323,23,"[48, 97, 144, 148, 235, 368, 419, 546]"
14786,23,"[47, 97, 144, 148, 235, 368, 384, 419, 514, 534, 546]"
14900,23,"[21, 47, 148, 200, 235, 362, 368, 384, 419, 514, 534]"
253,30,"[6, 42, 69, 190, 203, 269, 356, 369, 439, 486, 509, 575]"
249,30,"[6, 42, 69, 190, 203, 269, 356, 369, 439, 486, 509, 575]"
53,30,"[6, 42, 69, 190, 203, 269, 356, 369, 439, 486, 509, 575]"
156,30,"[6, 42, 69, 190, 203, 269, 356, 369, 439, 486, 509, 575]"
171,30,"[6, 42, 69, 190, 203, 269, 356, 369, 439, 486, 509, 575]"
58,31,"[6, 42, 174, 269, 365, 369, 418, 439, 468, 473, 557, 575]"
676,31,"[6, 42, 174, 269, 365, 369, 418, 439, 468, 473, 557, 575]"
692,31,"[6, 42, 174, 269, 365, 369, 418, 439, 468, 473, 557, 575]"
271,31,"[6, 42, 174, 269, 365, 369, 418, 439, 468, 473, 557, 575]"
116,31,"[6, 42, 174, 269, 365, 369, 418, 439, 468, 473, 557, 575]"
1314,27,"[227, 259]"
12272,32,"[25, 142, 167, 244, 266]"
11594,32,"[25, 142, 167, 244, 266, 350, 394]"
11598,32,"[25, 142, 167, 244, 266, 350, 394]"
7503,32,"[25, 142, 167, 244, 266, 350, 394]"
11597,32,"[25, 142, 167, 244, 266]"
12271,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
11600,32,"[25, 142, 167, 244, 266]"
11604,32,"[25, 142, 167, 244, 266, 350, 394]"
7428,32,"[25, 142, 167, 244, 266]"
803,32,"[25, 142, 167, 244, 266, 350, 394]"
11602,32,"[25, 140, 142, 167, 350, 394]"
11603,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
10503,32,"[25, 142, 167, 244, 266, 350, 394]"
11590,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
7231,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
11593,32,"[25, 142, 167, 244, 266, 350, 394]"
3250,32,"[25, 140, 142, 167, 265, 281, 311, 440]"
6578,32,"[25, 140, 142, 167, 265, 281, 311, 440]"
8726,32,"[25, 142, 167, 244, 266]"
9772,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
11244,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
11241,32,"[25, 142, 167, 244, 266]"
12273,32,"[25, 142, 167, 244, 266, 350, 394]"
12270,32,"[25, 142, 167, 244, 266, 350, 394]"
7065,32,"[25, 142, 167, 244, 266]"
6826,32,"[25, 142, 167, 244, 266, 350, 394]"
10417,32,"[25, 142, 167, 244, 266]"
7251,32,"[25, 142, 167, 244, 265, 266, 281, 311, 440]"
7061,32,"[25, 142, 167, 244, 265, 266, 281, 311, 440]"
9693,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
973,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
9811,32,"[25, 142, 167, 244, 266, 350, 394]"
10666,32,"[25, 142, 167, 244, 266, 350, 394]"
11592,32,"[11, 25, 142, 167, 244, 265, 266, 281, 394, 440]"
11601,32,"[25, 142, 167, 244, 266, 350, 394]"
11595,32,"[25, 142, 167, 244, 266]"
10504,32,"[25, 142, 167, 244, 266]"
7377,32,"[25, 142, 167, 244, 266, 350, 394]"
11588,32,"[25, 140, 350, 394]"
11589,32,"[11, 25, 140, 265, 281, 394, 440]"
11599,32,"[25, 140, 311, 440]"
11591,32,"[11, 25, 140, 265, 281, 394, 440]"
8492,32,"[25, 140, 350, 394]"
11596,32,"[25, 140, 265, 281, 311, 440]"
6579,32,"[11, 25, 140, 265, 281, 394, 440]"
7405,32,"[25, 140]"
7828,2,"[223, 408, 505]"
4204,2,"[408, 505, 569]"
5564,2,"[223, 408, 505]"
5794,2,"[223, 301, 408]"
7165,2,"[223, 408, 505]"
6811,2,"[223, 408, 505]"
6026,2,"[223, 301, 408]"
3465,2,"[223, 301, 408]"
5551,2,"[223, 301, 408]"
4562,2,"[301, 458, 569]"
5886,2,"[223, 458, 505]"
7085,2,"[223, 458, 505]"
5269,2,"[223, 458, 505]"
4052,2,"[223, 301, 458]"
4075,2,"[223, 301, 458]"
7087,2,"[223, 458, 505]"
3084,3,"[220, 301, 408, 449, 569]"
3339,3,"[220, 408, 449, 505, 569]"
6240,3,"[220, 223, 301, 408, 449]"
4565,3,"[220, 301, 408, 449, 569]"
4049,3,"[276, 301, 449, 458, 569]"
6850,3,"[223, 276, 301, 449, 458]"
4633,3,"[223, 276, 449, 458, 505]"
6859,4,"[142, 264, 301, 408, 569]"
1068,4,"[142, 223, 264, 408, 505]"
6035,4,"[142, 223, 264, 408, 505]"
6723,4,"[142, 264, 301, 408, 569]"
8189,4,"[142, 264, 408, 505, 569]"
3608,4,"[142, 264, 408, 505, 569]"
5535,4,"[142, 223, 264, 301, 408]"
4654,4,"[142, 223, 264, 458, 505]"
4658,4,"[142, 264, 458, 505, 569]"
3806,4,"[142, 223, 264, 301, 458]"
6855,4,"[142, 264, 301, 458, 569]"
1248,4,"[142, 264, 458, 505, 569]"
5801,4,"[142, 223, 264, 458, 505]"
